BB ID 1,BB ID 2,AB,BA
1171,109331,67464,55901
1171,109350,68663,44539
1172,109329,106184,96187
1172,109330,91230,97539
1172,109332,90440,100487
1172,109333,86240,97534
1172,109334,63327,70797
1172,109335,55794,5689
1172,109336,50037,3539
1172,109338,35629,4320
1172,109341,39908,2471
1172,109337,60584,1863
1172,109342,48721,2435
1172,109344,4617,1136
1172,109339,29073,1053
1172,109345,20598,2359
1172,109346,26749,3401
1172,109347,4593,2599
1172,109340,26763,1364
1172,109348,44074,1673
1172,109349,27903,2158
1172,109343,39048,4838
1172,109331,75224,93104
1172,109350,76893,85395
1175,109329,106233,100900
1175,109330,91529,101382
1175,109332,90713,103072
1175,109333,86516,100967
1175,109334,62665,80915
1175,109335,50775,11490
1175,109336,44200,7117
1175,109338,29566,10017
1175,109341,32105,4971
1175,109337,54613,3291
1175,109342,41791,4566
1175,109344,2772,4353
1175,109339,20364,2394
1175,109345,14320,6445
1175,109346,19145,7765
1175,109347,4519,12822
1175,109340,19946,3582
1175,109348,35119,2760
1175,109349,18601,4099
1175,109343,31761,10878
1175,109331,75360,98089
1175,109350,77171,91927
1176,109329,105864,92779
1176,109330,89459,94634
1176,109332,88874,98819
1176,109333,85308,96104
1176,109334,61632,65694
1176,109335,57292,5193
1176,109336,54716,4641
1176,109338,43401,6741
1176,109341,42178,2081
1176,109337,61640,1666
1176,109342,50330,2054
1176,109344,13465,1883
1176,109339,36565,1495
1176,109345,24524,2147
1176,109346,29295,2829
1176,109347,13084,4428
1176,109340,34990,2078
1176,109348,46080,1469
1176,109349,30688,1795
1176,109343,40620,3790
1176,109331,73312,90393
1176,109350,74138,81196
1168,109329,106072,82835
1168,109330,90233,85071
1168,109332,88913,90267
1168,109333,83402,80975
1168,109334,61527,33444
1168,109335,64384,2390
1168,109336,63475,2359
1168,109338,49434,1738
1168,109341,50554,846
1168,109337,71234,1247
1168,109342,58770,1010
1168,109344,23655,434
1168,109339,49083,716
1168,109345,34027,525
1168,109346,37010,592
1168,109347,14585,351
1168,109340,44786,625
1168,109348,57925,1087
1168,109349,41469,611
1168,109343,46704,991
1168,109331,73287,76370
1168,109350,76370,67978
1177,109329,104734,58925
1177,109330,85280,61539
1177,109332,84556,70023
1177,109333,81405,62236
1177,109334,65198,27003
1177,109335,75467,6377
1177,109336,76425,9356
1177,109338,66684,9385
1177,109341,65709,3018
1177,109337,81929,4004
1177,109342,71420,3161
1177,109344,52444,5225
1177,109339,67049,5593
1177,109345,55308,3186
1177,109346,56011,2740
1177,109347,44783,3985
1177,109340,64122,4947
1177,109348,71950,3973
1177,109349,60269,3134
1177,109343,60902,2589
1177,109331,67622,52971
1177,109350,69367,42969
1178,109329,106553,97913
1178,109330,93731,98652
1178,109332,92122,100620
1178,109333,86000,95962
1178,109334,59093,62323
1178,109335,49533,2559
1178,109336,41067,1105
1178,109338,20323,883
1178,109341,31966,1082
1178,109337,56402,1018
1178,109342,42834,1160
1178,109344,260,105
1178,109339,16400,175
1178,109345,10086,725
1178,109346,17682,1457
1178,109347,223,352
1178,109340,13461,237
1178,109348,36792,886
1178,109349,18324,720
1178,109343,31981,2256
1178,109331,77765,93623
1178,109350,80674,87462
1182,109329,106336,97124
1182,109330,92413,98083
1182,109332,91169,100600
1182,109333,85607,96458
1182,109334,59331,64293
1182,109335,50025,2905
1182,109336,43098,1581
1182,109338,26765,1732
1182,109341,32275,1141
1182,109337,55752,1043
1182,109342,42393,1175
1182,109344,677,292
1182,109339,19186,257
1182,109345,11881,885
1182,109346,18485,1616
1182,109347,745,922
1182,109340,17381,420
1182,109348,37153,910
1182,109349,18965,774
1182,109343,31938,2333
1182,109331,76194,93181
1182,109350,78702,86511
1183,109329,105748,83736
1183,109330,89051,87218
1183,109332,88199,92725
1183,109333,83963,87937
1183,109334,61457,45021
1183,109335,62679,3257
1183,109336,61734,3378
1183,109338,49159,3362
1183,109341,47512,980
1183,109337,68227,1357
1183,109342,55796,1159
1183,109344,21846,854
1183,109339,46025,1022
1183,109345,31105,742
1183,109346,35240,1140
1183,109347,17438,1197
1183,109340,42500,1058
1183,109348,54046,1116
1183,109349,37730,707
1183,109343,45002,1471
1183,109331,72245,80745
1183,109350,73788,69692
1166,109329,104892,65442
1166,109330,86095,68486
1166,109332,85769,78746
1166,109333,82856,73853
1166,109334,65827,36689
1166,109335,74195,7153
1166,109336,74390,9231
1166,109338,63901,8790
1166,109341,62978,2831
1166,109337,79834,3744
1166,109342,69020,3027
1166,109344,46944,3745
1166,109339,63746,4588
1166,109345,51808,2984
1166,109346,52938,2745
1166,109347,39521,3174
1166,109340,60719,4120
1166,109348,69065,3525
1166,109349,56688,2726
1166,109343,58852,2868
1166,109331,69391,62571
1166,109350,70128,49692
1184,109329,104724,62965
1184,109330,85040,66886
1184,109332,84398,75844
1184,109333,82025,72666
1184,109334,64350,33764
1184,109335,72702,6343
1184,109336,74887,11354
1184,109338,66016,13003
1184,109341,62335,2855
1184,109337,78888,3546
1184,109342,67988,2856
1184,109344,51584,8309
1184,109339,65425,6997
1184,109345,52054,3518
1184,109346,52302,2813
1184,109347,44600,7574
1184,109340,62468,6554
1184,109348,68972,3908
1184,109349,56898,3234
1184,109343,57841,2739
1184,109331,67361,59710
1184,109350,68589,47964
1185,109329,105744,88268
1185,109330,89869,90647
1185,109332,89076,95463
1185,109333,85185,91856
1185,109334,64234,58527
